DRCINAACC-3# show mac address-table
Legend:
        * - primary entry, G - Gateway MAC, (R) - Routed MAC, O - Overlay MAC
        age - seconds since last seen,+ - primary entry using vPC Peer-Link,
        (T) - True, (F) - False, C - ControlPlane MAC, ~ - vsan
   VLAN     MAC Address      Type      age     Secure NTFY Ports
* 1042     0015.5d0b.2505   dynamic  0         F      F    Po3
* 1042     0015.5d0b.2d04   dynamic  0         F      F    Po3
* 1042     0015.5d0b.3708   dynamic  0         F      F    Po3
+ 1042     0015.5d0b.380d   dynamic  0         F      F    Po3
* 1042     0015.5d0b.480e   dynamic  0         F      F    Po3
* 1042     0015.5d0b.4907   dynamic  0         F      F    Po3
* 1042     0015.5d0b.4c08   dynamic  0         F      F    Po3
+ 1042     0015.5d0b.520d   dynamic  0         F      F    Po3
* 1042     0015.5d0b.520e   dynamic  0         F      F    Po3
* 1042     0015.5d0d.7e0b   dynamic  0         F      F    Po3
* 1042     0015.5d15.7808   dynamic  0         F      F    Po3
* 1042     0015.5d15.780a   dynamic  0         F      F    Po3
+ 1042     0015.5d16.d011   dynamic  0         F      F    Po3
* 1042     0015.5d16.d012   dynamic  0         F      F    Po3
+ 1042     0015.5d1b.5404   dynamic  0         F      F    Po3
+ 1042     0015.5d22.f8f5   dynamic  0         F      F    Po3
+ 1042     0015.5d2e.6114   dynamic  0         F      F    Po3
+ 1042     0015.5d2e.6118   dynamic  0         F      F    Po3
* 1042     0015.5d2e.6119   dynamic  0         F      F    Po3
* 1042     0015.5d30.6e0d   dynamic  0         F      F    Po3
+ 1042     0015.5d3c.1da7   dynamic  0         F      F    Po3
+ 1042     0015.5d4a.6019   dynamic  0         F      F    Po3
+ 1042     0015.5d4a.601e   dynamic  0         F      F    Po3
* 1042     0015.5d4a.6020   dynamic  0         F      F    Po3
+ 1042     0015.5d4a.6021   dynamic  0         F      F    Po3
+ 1042     0015.5d4a.6022   dynamic  0         F      F    Po3
+ 1042     0015.5d4a.6023   dynamic  0         F      F    Po3
+ 1042     0015.5d4a.6024   dynamic  0         F      F    Po3
+ 1042     0015.5d4a.6025   dynamic  0         F      F    Po3
+ 1042     0015.5d4a.6026   dynamic  0         F      F    Po3
* 1042     0015.5d4a.8504   dynamic  0         F      F    Po3
* 1042     0015.5d4a.850b   dynamic  0         F      F    Po3
+ 1042     0015.5d4e.070e   dynamic  0         F      F    Po3
+ 1042     0015.5d4e.0712   dynamic  0         F      F    Po3
* 1042     0015.5d4e.0713   dynamic  0         F      F    Po3
+ 1042     0015.5d4e.0714   dynamic  0         F      F    Po3
* 1042     0015.5d4e.0719   dynamic  0         F      F    Po3
+ 1042     0015.5d63.984f   dynamic  0         F      F    Po3
* 1042     0015.5d63.98f1   dynamic  0         F      F    Po3
* 1042     0015.5d69.750a   dynamic  0         F      F    Po3
+ 1042     0015.5d69.750c   dynamic  0         F      F    Po3
+ 1042     0015.5d69.750e   dynamic  0         F      F    Po3
* 1042     0015.5d69.7513   dynamic  0         F      F    Po3
+ 1042     0015.5d71.36af   dynamic  0         F      F    Po3
+ 1042     0015.5d71.3804   dynamic  0         F      F    Po3
+ 1042     0015.5d71.3805   dynamic  0         F      F    Po3
* 1042     0015.5d71.3806   dynamic  0         F      F    Po3
+ 1042     0015.5d71.380d   dynamic  0         F      F    Po3
* 1042     0015.5d71.ea07   dynamic  0         F      F    Po3
+ 1042     0015.5d76.5e1e   dynamic  0         F      F    Po3
* 1042     0015.5d78.9604   dynamic  0         F      F    Po3
+ 1042     0015.5d78.9608   dynamic  0         F      F    Po3
+ 1042     0015.5d78.960c   dynamic  0         F      F    Po3
* 1042     0015.5d86.d112   dynamic  0         F      F    Po3
+ 1042     0015.5d86.d114   dynamic  0         F      F    Po3
* 1042     0015.5d86.d119   dynamic  0         F      F    Po3
+ 1042     0015.5d87.461a   dynamic  0         F      F    Po3
* 1042     0015.5d87.461f   dynamic  0         F      F    Po3
* 1042     0015.5d87.462c   dynamic  0         F      F    Po3
+ 1042     0015.5d87.4630   dynamic  0         F      F    Po3
+ 1042     0015.5d87.4634   dynamic  0         F      F    Po3
* 1042     0015.5d87.a802   dynamic  0         F      F    Po3
+ 1042     0015.5d87.a803   dynamic  0         F      F    Po3
+ 1042     0015.5d87.a804   dynamic  0         F      F    Po3
* 1042     0015.5d89.ad47   dynamic  0         F      F    Po3
* 1042     0015.5d89.adf9   dynamic  0         F      F    Po3
+ 1042     0015.5d8d.4c07   dynamic  0         F      F    Po3
+ 1042     0015.5d8d.4c09   dynamic  0         F      F    Po3
* 1042     0015.5d91.a010   dynamic  0         F      F    Po3
* 1042     0015.5d91.a016   dynamic  0         F      F    Po3
* 1042     0015.5d91.a019   dynamic  0         F      F    Po3
* 1042     0015.5d92.0a06   dynamic  0         F      F    Po3
+ 1042     0015.5d92.0a15   dynamic  0         F      F    Po3
* 1042     0015.5d92.0a18   dynamic  0         F      F    Po3
* 1042     0015.5d92.0a19   dynamic  0         F      F    Po3
* 1042     0015.5d92.0a21   dynamic  0         F      F    Po3
* 1042     0015.5d9d.9411   dynamic  0         F      F    Po3
+ 1042     0015.5d9d.9413   dynamic  0         F      F    Po3
+ 1042     0015.5d9d.9417   dynamic  0         F      F    Po3
+ 1042     0015.5d9d.941a   dynamic  0         F      F    Po3
* 1042     0015.5d9d.941c   dynamic  0         F      F    Po3
* 1042     0015.5d9d.941e   dynamic  0         F      F    Po3
+ 1042     0015.5d9d.941f   dynamic  0         F      F    Po3
* 1042     0015.5d9d.9424   dynamic  0         F      F    Po3
+ 1042     0015.5da4.0808   dynamic  0         F      F    Po3
* 1042     0015.5da7.1b24   dynamic  0         F      F    Po3
* 1042     0015.5da7.1b28   dynamic  0         F      F    Po3
+ 1042     0015.5db1.f505   dynamic  0         F      F    Po3
+ 1042     0015.5db1.f508   dynamic  0         F      F    Po3
* 1042     0015.5db1.f509   dynamic  0         F      F    Po3
+ 1042     0015.5db1.f50b   dynamic  0         F      F    Po3
* 1042     0015.5db1.f50c   dynamic  0         F      F    Po3
+ 1042     0015.5db1.f50d   dynamic  0         F      F    Po3
* 1042     0015.5db1.f512   dynamic  0         F      F    Po3
* 1042     0015.5dba.ab0f   dynamic  0         F      F    Po3
+ 1042     0015.5dba.ab12   dynamic  0         F      F    Po3
* 1042     0015.5dba.ab13   dynamic  0         F      F    Po3
+ 1042     0015.5dba.ab1a   dynamic  0         F      F    Po3
+ 1042     0015.5dba.ab1c   dynamic  0         F      F    Po3
* 1042     0015.5dba.ab1d   dynamic  0         F      F    Po3
* 1042     0015.5dba.ab1e   dynamic  0         F      F    Po3
+ 1042     0015.5dbb.4a06   dynamic  0         F      F    Po3
+ 1042     0015.5dc2.9902   dynamic  0         F      F    Po3
+ 1042     0015.5dc2.990a   dynamic  0         F      F    Po3
* 1042     0015.5dc2.990c   dynamic  0         F      F    Po3
+ 1042     0015.5dd0.1719   dynamic  0         F      F    Po3
* 1042     0015.5dd8.a606   dynamic  0         F      F    Po3
* 1042     0015.5dd8.a607   dynamic  0         F      F    Po3
+ 1042     0015.5dd8.a608   dynamic  0         F      F    Po3
* 1042     0015.5dd8.a60a   dynamic  0         F      F    Po3
+ 1042     0015.5dd8.a60c   dynamic  0         F      F    Po3
* 1042     0015.5ddb.97a6   dynamic  0         F      F    Po3
* 1042     0015.5ddb.97d8   dynamic  0         F      F    Po3
+ 1042     0015.5ddf.bd11   dynamic  0         F      F    Po3
+ 1042     0015.5ddf.bd12   dynamic  0         F      F    Po3
+ 1042     0015.5ddf.bd2f   dynamic  0         F      F    Po3
+ 1042     0015.5ddf.bd35   dynamic  0         F      F    Po3
+ 1042     0015.5de6.1b13   dynamic  0         F      F    Po3
+ 1042     0015.5de9.961b   dynamic  0         F      F    Po3
+ 1042     0015.5de9.961c   dynamic  0         F      F    Po3
+ 1042     0015.5de9.961f   dynamic  0         F      F    Po3
* 1042     0015.5de9.9621   dynamic  0         F      F    Po3
+ 1042     0015.5de9.9628   dynamic  0         F      F    Po3
+ 1042     0015.5dfa.1a1f   dynamic  0         F      F    Po3
+ 1042     0015.b2b1.b4e8   dynamic  0         F      F    Po3
* 1042     001d.d8b7.1c07   dynamic  0         F      F    Po3
* 1042     001d.d8b7.1c13   dynamic  0         F      F    Po3
* 1042     001d.d8b7.1e31   dynamic  0         F      F    Po3
* 1042     001d.d8b7.1e32   dynamic  0         F      F    Po3
* 1042     001d.d8b7.1e33   dynamic  0         F      F    Po3
+ 1042     001d.d8b7.1e35   dynamic  0         F      F    Po3
+ 1042     001d.d8b7.1e36   dynamic  0         F      F    Po3
+ 1042     001d.d8b7.1e9c   dynamic  0         F      F    Po3
+ 1042     001d.d8b7.1e9d   dynamic  0         F      F    Po3
+ 1042     001d.d8b7.1e9e   dynamic  0         F      F    Po3
+ 1042     001d.d8b7.2001   dynamic  0         F      F    Po3
* 1042     001d.d8b7.2016   dynamic  0         F      F    Po3
* 1042     001d.d8b7.2017   dynamic  0         F      F    Po3
+ 1042     001d.d8b7.2018   dynamic  0         F      F    Po3
+ 1042     001d.d8b7.2019   dynamic  0         F      F    Po3
+ 1042     001d.d8b7.201c   dynamic  0         F      F    Po3
* 1042     001d.d8b7.201d   dynamic  0         F      F    Po3
* 1042     001d.d8b7.201e   dynamic  0         F      F    Po3
* 1042     001d.d8b7.201f   dynamic  0         F      F    Po3
+ 1042     001d.d8b7.204d   dynamic  0         F      F    Po3
+ 1042     001d.d8b7.204e   dynamic  0         F      F    Po3
* 1042     001d.d8b7.2052   dynamic  0         F      F    Po3
* 1042     001d.d8b7.2053   dynamic  0         F      F    Po3
+ 1042     001d.d8b7.2062   dynamic  0         F      F    Po3
* 1042     001d.d8b7.20c5   dynamic  0         F      F    Po3
* 1042     001d.d8b7.20c6   dynamic  0         F      F    Po3
* 1042     001d.d8b7.20c8   dynamic  0         F      F    Po3
* 1042     001d.d8b7.20c9   dynamic  0         F      F    Po3
+ 1042     001d.d8b7.20cc   dynamic  0         F      F    Po3
* 1042     001d.d8b7.20cd   dynamic  0         F      F    Po3
* 1042     001d.d8b7.20ce   dynamic  0         F      F    Po3
+ 1042     001d.d8b7.20cf   dynamic  0         F      F    Po3
+ 1042     001d.d8b7.2143   dynamic  0         F      F    Po3
+ 1042     001d.d8b7.2144   dynamic  0         F      F    Po3
* 1042     001d.d8b7.2146   dynamic  0         F      F    Po3
+ 1042     001d.d8b7.2147   dynamic  0         F      F    Po3
* 1042     001d.d8b7.2148   dynamic  0         F      F    Po3
* 1042     001d.d8b7.2cdf   dynamic  0         F      F    Po3
+ 1042     0022.bdf8.19ff   dynamic  0         F      F    Po3
+ 1042     80e0.1d58.9c8a   dynamic  0         F      F    Po3
