Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  10.21.219.104          84   489e.bd2e.c338  ARPA   Vlan1490
Internet  10.21.219.106           0   e880.8872.c310  ARPA   Vlan1490
Internet  10.21.219.107          64   e880.8872.ba50  ARPA   Vlan1490
Internet  10.21.219.109          58   083a.886e.667f  ARPA   Vlan1490
Internet  10.21.219.111         164   489e.bd2e.624c  ARPA   Vlan1490
Internet  10.21.219.112         216   083a.886e.866d  ARPA   Vlan1490
Internet  10.21.219.113          13   6c4b.90f9.6df4  ARPA   Vlan1490
Internet  10.21.219.114          54   083a.886e.8021  ARPA   Vlan1490
Internet  10.21.219.117          63   489e.bd2e.c787  ARPA   Vlan1490
Internet  10.21.219.120          13   7c57.5824.924a  ARPA   Vlan1490
Internet  10.21.219.122           3   489e.bd2e.5ba7  ARPA   Vlan1490
Internet  10.21.219.124          82   e880.886c.5f57  ARPA   Vlan1490
Internet  10.21.219.125           9   e880.886c.7638  ARPA   Vlan1490
Internet  10.21.219.126           7   6c3c.8c3f.1e98  ARPA   Vlan1490
Internet  10.21.219.127         190   083a.886e.82a9  ARPA   Vlan1490
Internet  10.21.219.128          13   083a.886e.66a2  ARPA   Vlan1490
Internet  10.21.219.129          12   083a.886e.88ea  ARPA   Vlan1490
Internet  10.21.219.130          13   083a.886e.7e3d  ARPA   Vlan1490
Internet  10.21.219.131          12   489e.bd2e.c79e  ARPA   Vlan1490
Internet  10.21.219.132         237   083a.886e.7d9f  ARPA   Vlan1490
Internet  10.21.219.133          13   083a.886e.8577  ARPA   Vlan1490
Internet  10.21.219.136          14   083a.886e.63f0  ARPA   Vlan1490
Internet  10.21.219.138          12   489e.bd2e.c6d3  ARPA   Vlan1490
Internet  10.21.219.139          78   083a.886e.85ce  ARPA   Vlan1490
Internet  10.21.219.140         157   083a.886e.66c6  ARPA   Vlan1490
Internet  10.21.219.142           0   489e.bd2e.c82f  ARPA   Vlan1490
Internet  10.21.219.143           3   083a.886c.e6a7  ARPA   Vlan1490
Internet  10.21.219.144          13   84a9.3e6d.7210  ARPA   Vlan1490
Internet  10.21.219.145         209   e880.886c.6aa6  ARPA   Vlan1490
Internet  10.21.219.146          12   083a.886e.8af0  ARPA   Vlan1490
Internet  10.21.219.147         154   489e.bd2e.c357  ARPA   Vlan1490
Internet  10.21.219.149          13   e880.886c.7357  ARPA   Vlan1490
Internet  10.21.219.150          59   6c3c.8c58.55c5  ARPA   Vlan1490
Internet  10.21.219.151         201   083a.886e.7f41  ARPA   Vlan1490
Internet  10.21.219.152          13   489e.bd2e.6023  ARPA   Vlan1490
Internet  10.21.219.153          76   489e.bd2e.c838  ARPA   Vlan1490
Internet  10.21.219.154          81   e073.e72d.1cd3  ARPA   Vlan1490
Internet  10.21.219.155         173   489e.bd2e.63ca  ARPA   Vlan1490
Internet  10.21.219.156           2   083a.886e.7ded  ARPA   Vlan1490
Internet  10.21.219.157         141   489e.bd2e.5ba8  ARPA   Vlan1490
Internet  10.21.219.158         141   083a.886e.681e  ARPA   Vlan1490
Internet  10.21.219.159          19   7c57.5826.1fa0  ARPA   Vlan1490
Internet  10.21.219.160           1   083a.886e.bc1d  ARPA   Vlan1490
