Interface                      Status         Protocol Description
Gi3/24                         up             up       *** Nurman Setyawan ***
Gi3/25                         up             up       *** Bayu Prasetyo Adi ***
Gi3/26                         up             up       *** Sandi Indra Jaya ***
Gi3/27                         down           down     *** Oryza Adhisurya ***
Gi3/28                         down           down     *** Evelyn Anastasia Wijaya ***
Gi3/29                         down           down     *** Meyliani Tanjung ***
Gi3/30                         up             up       *** Frans Pratama Konstantius ***
Gi3/31                         down           down     *** Agung Darmawan ***
Gi3/32                         up             up       *** David Kuncoro Lim ***
Gi3/33                         down           down     *** YOGA GUNAWAN BUDIJONO ***
Gi3/34                         down           down     *** Kevin ***
Gi3/35                         up             up       *** Herman Sutopo ***
Gi3/36                         up             up       *** to MBCA-LAN ***
Gi3/37                         up             up       *** MBCA Printer ***
Gi3/38                         up             up       *** Ardhi Prasetya ***
Gi3/39                         up             up       *** PC Absen ***
Gi3/40                         up             up       *** Ifonne Geraldhyne ***
Gi3/41                         up             up       *** Tjiptawati Budiman ***
Gi3/42                         down           down     *** to MBCA-LAN ***
Gi3/43                         up             up       *** to MBCA-LAN ***
Gi3/44                         up             up       *** Ferry Ferdian Siswanto ***
Gi3/45                         down           down     *** Ronny ***
Gi3/46                         up             up       *** LAN ***
Gi3/47                         up             up       *** Hans Christianto ***
Gi3/48                         up             up       *** Yohan Prasetyo Sugianto ***
Gi4/1                          up             up       *** VC BCA GSIT ***
Gi4/2                          up             up       *** Jason Octaviano Iteh ***
Gi4/3                          up             up       *** Immanuel Wicaksono ***
Gi4/4                          up             up       *** Hornop Haholongan Nainggolan ***
Gi4/5                          down           down     *** Andreson ***
Gi4/6                          down           down     *** Chandra Wijaya - Vendor ***
Gi4/7                          down           down     *** Putri Sangga Buana ***
Gi4/8                          up             up       *** Julius K ***
Gi4/9                          down           down     *** Gilang Kurnia R ***
Gi4/10                         down           down     *** Arman Nurhalim ***
Gi4/11                         down           down     *** Chandra W ***
Gi4/12                         down           down     *** Baskoro Aditya Rahman ***
Gi4/13                         down           down     *** Firman Ardiansyah ***
Gi4/14                         down           down     *** Ardian Heri Putra ***
Gi4/15                         up             up       *** Putri Sanggabuana ***
Gi4/16                         down           down     *** Marselinus Suhaman ***
Gi4/17                         down           down     *** Alexander Aryo Nugroho ***
Gi4/18                         up             up       *** Joseph Adrian ***
Gi4/19                         up             up       *** Jerry Lewis ***
Gi4/20                         up             up       *** Robertus Aditya Setiawan ***
Gi4/21                         down           down     *** Ardian Heri Putra ***
Gi4/22                         up             up       *** Suryo Hadi Utomo ***
Gi4/23                         up             up       *** Richard Susanto ***
Gi4/24                         down           down     *** Pudjianto ***
Gi4/25                         up             up       *** Friederich ***
Gi4/26                         up             up       *** Audy Iwan ***
Gi4/27                         down           down     *** Jimmy Kartinus ***
Gi4/28                         up             up       *** Irvan Prama Wijayanto ***
Gi4/29                         up             up       *** Hardiono ***
Gi4/30                         up             up       *** Awal Mirsaldi ***
Gi4/31                         up             up       *** to MBCA-LAN ***
Gi4/32                         down           down     *** Adi Heru Satrio P ***
Gi4/33                         up             up       *** Angga Pramudita ***
Gi4/34                         up             up       *** Triya Rosyadi ***
Gi4/35                         down           down     *** Erik Dilapanga ***
Gi4/36                         up             up       *** Alex Rosyanto ***
Gi4/37                         up             up       *** Rikko Ismail Hardianzah ***
Gi4/38                         up             up       *** Yosep Andrianto ***
Gi4/39                         up             up       *** Stevanus Setiadi ***
Gi4/40                         up             up       *** Rahmadta Akmaludin ***
Gi4/41                         up             up       *** Donie Riswanto ***
Gi4/42                         down           down     *** Ruangan Ex LIW ***
Gi4/43                         down           down     *** Ruangan Ex LIW ***
Gi4/44                         up             up       *** to MBCA-LAN ***
Gi4/45                         up             up       *** R. Beringin ***
Gi4/46                         up             up       *** to MBCA-LAN ***
Gi4/47                         down           down     *** POC IXIA R. Mahoni ***
Gi4/48                         up             up       *** Gracia Jessica ***
Te5/1                          up             up       Connection To MBCA-LAN-D Te1/5/6
Te5/2                          down           down     --
