RMP-SF-AGG02# show ip arp

Flags: * - Adjacencies learnt on non-active FHRP router
       + - Adjacencies synced via CFSoE
       # - Adjacencies Throttled for Glean
       CP - Added via L2RIB, Control plane Adjacencies
       PS - Added via L2RIB, Peer Sync
       RO - Re-Originated Peer Sync Entry
       D - Static Adjacencies attached to down interface

IP ARP Table for context default
Total number of entries: 110
Address         Age       MAC Address     Interface       Flags
10.254.141.111  00:01:51  0050.5667.25a0  Vlan958         + 
10.254.141.112  00:10:51  0050.566b.352b  Vlan958         + 
10.254.141.113  00:10:12  0050.5663.7a86  Vlan958         + 
10.254.141.114  00:12:38  0050.566f.cc96  Vlan958         + 
10.254.141.115  00:13:08  0050.5662.4af9  Vlan958         + 
10.254.141.118  00:15:21  0050.566b.1231  Vlan958         + 
10.254.141.122  00:00:13  0050.5668.06bc  Vlan958         + 
10.254.141.123  00:04:17  0050.566e.dc34  Vlan958         + 
10.254.141.124  00:05:03  0050.5669.6130  Vlan958         + 
10.254.141.125  00:00:34  0050.566d.07d6  Vlan958         + 
10.254.141.126  00:14:53  0050.5668.ab52  Vlan958         + 
10.254.137.66   00:01:30  f44e.0549.85bf  Vlan951         
10.254.137.68   00:10:27  0050.566b.ef20  Vlan951         + 
10.254.137.70   00:00:16  0050.566b.072f  Vlan951         + 
10.254.137.71   00:01:06  0050.5664.cbea  Vlan951         + 
10.254.137.72   00:17:15  0050.5662.8ae4  Vlan951         + 
10.254.253.69   00:09:51  f44e.0549.85bf  port-channel2   
10.254.251.133  00:08:41  f44e.0549.a67f  Ethernet1/4     
10.254.251.141  00:02:14  7426.acfa.b9bf  Ethernet2/4     
